project_name,event_type,event_no,image_type,image_format,picture_num,stage_num
関ケ原2023,フェス,1,ライブ,ライムライト式,1,5
関ケ原2023,フェス,1,特典会,ライムライト式,5,28
関ケ原2023,フェス,2,特典会,ライムライト式,1,28
関ケ原2023,フェス,2,ライブ,ライムライト式,5,28
関ケ原2023,フェス,3,ライブ,ライムライト式,1,5
関ケ原2023,フェス,3,特典会,ライムライト式,5,28
関ケ原2024,フェス,1,特典会,ライムライト式,1,28
関ケ原2024,フェス,2,特典会,ライムライト式,1,28
関ケ原2024,フェス,3,特典会,ライムライト式,1,28
関ケ原2024,フェス,1,ライブ,ライムライト式,1,1
関ケ原2024,フェス,2,ライブ,ライムライト式,1,1
関ケ原2024,フェス,3,ライブ,ライムライト式,1,1
竜王2022,フェス,1,ライブ,ライムライト式,1,6
竜王2022,フェス,1,特典会,ライムライト式,1,30
竜王2022,フェス,2,ライブ,ライムライト式,1,1
竜王2022,フェス,2,特典会,ライムライト式,1,1
竜王2022,フェス,3,ライブ,ライムライト式,1,1
竜王2022,フェス,3,特典会,ライムライト式,1,1
JCIF2023,フェス,1,ライブ,ライムライト式,1,6
JCIF2023,フェス,2,ライブ,ライムライト式,1,1
JCIF2023,フェス,3,ライブ,ライムライト式,1,1
竜王2024,フェス,1,ライブ,ライムライト式,1,7
竜王2024,フェス,2,ライブ,ライムライト式,1,7
竜王2024,フェス,1,特典会,ライムライト式,1,34
竜王2024,フェス,2,特典会,ライムライト式,1,33
atjamexpo2024,フェス,1,ライブ,通常,1,6
atjamexpo2024,フェス,2,ライブ,通常,1,6
atjamexpo2024,フェス,3,ライブ,通常,1,6
かがやきフェス2024,フェス,1,ライブ,特典会併記,1,5
かがやきフェス2024,フェス,2,ライブ,特典会併記,1,5
